Abomasnow, #460, Generation IV, 2.2 m, 135.5 kg, Frost Tree Pokemon, White, Grass, Ice, N/A, 
Meowstic, #678, Generation VI, 0.6 m, 8.5 kg, Constraint Pokemon, Blue, Psychic, N/A, N/A, 
Meowth, #052, Generation I, 0.4 m, 4.2 kg, Scratch Cat Pokemon, Yellow, Normal, N/A, N/A, 
Mesprit, #481, Generation IV, 0.3 m, 0.3 kg, Emotion Pokemon, Pink, Psychic, N/A, Legendary, 
Metagross, #376, Generation III, 1.6 m, 550.0 kg, Iron Leg Pokemon, Blue, Steel, Psychic, pseudo-legendary, 
Metang, #375, Generation III, 1.2 m, 202.5 kg, Iron Claw Pokemon, Blue, Steel, Psychic, N/A, 
Metapod, #011, Generation I, 0.7 m, 9.9 kg, Cocoon Pokemon, Green, Bug, N/A, N/A, 
Mew, #151, Generation I, 0.4 m, 4.0 kg, New Species Pokemon, Pink, Psychic, N/A, Mythical, 
Mewtwo, #150, Generation I, 2.0 m, 122.0 kg, Genetic Pokemon, Purple, Psychic, N/A, Legendary, 
Mienfoo, #619, Generation V, 0.9 m, 20.0 kg, Martial Arts Pokemon, Yellow, Fighting, N/A, N/A, 
Mienshao, #620, Generation V, 1.4 m, 35.5 kg, Martial Arts Pokemon, Purple, Fighting, N/A, N/A, 
Mightyena, #262, Generation III, 1.0 m, 37.0 kg, Bite Pokemon, Gray, Dark, N/A, N/A, 
Milcery, #868, Generation VIII, 0.2 m, 0.3 kg, Cream Pokemon, White, Fairy, N/A, N/A, 
Milotic, #350, Generation III, 6.2 m, 162.0 kg, Tender Pokemon, Pink, Water, N/A, N/A, 
Miltank, #241, Generation II, 1.2 m, 75.5 kg, Milk Cow Pokemon, Pink, Normal, N/A, N/A, 
Mime Jr., #439, Generation IV, 0.6 m, 13.0 kg, Mime Pokemon, Pink, Psychic, Fairy, baby, 
Mimikyu, #778, Generation VII, 0.2 m, 0.7 kg, Disguise Pokemon, Yellow, Ghost, Fairy, N/A, 
Minccino, #572, Generation V, 0.4 m, 5.8 kg, Chinchilla Pokemon, Gray, Normal, N/A, N/A, 
Minior, #774, Generation VII, 0.3 m, 40.0 kg, Meteor Pokemon, Brown, Rock, Flying, N/A, 
Minun, #312, Generation III, 0.4 m, 4.2 kg, Cheering Pokemon, Yellow, Electric, N/A, N/A, 
Misdreavus, #200, Generation II, 0.7 m, 1.0 kg, Screech Pokemon, Gray, Ghost, N/A, N/A, 
Mismagius, #429, Generation IV, 0.9 m, 4.4 kg, Magical Pokemon, Purple, Ghost, N/A, N/A, 
Moltres, #146, Generation I, 2.0 m, 60.0 kg, Flame Pokemon, Yellow, Fire, Flying, Legendary, 
Monferno, #391, Generation IV, 0.9 m, 22.0 kg, Playful Pokemon, Brown, Fire, Fighting, N/A, 
Morelull, #755, Generation VII, 0.2 m, 1.5 kg, Illuminating Pokemon, Purple, Grass, Fairy, N/A, 
Morgrem, #860, Generation VIII, 0.8 m, 12.5 kg, Devious Pokemon, Pink, Dark, Fairy, N/A, 
Morpeko, #877, Generation VIII, 0.3 m, 3.0 kg, Two-Sided Pokemon, Yellow, Electric, Dark, N/A, 
Mothim, #414, Generation IV, 0.9 m, 23.3 kg, Moth Pokemon, Yellow, Bug, Flying, N/A, 
Mr. Mime, #122, Generation I, 1.3 m, 54.5 kg, Barrier Pokemon, Pink, Psychic, Fairy, N/A, 
Mr. Rime, #866, Generation VIII, 1.5 m, 58.2 kg, Comedian Pokemon, Purple, Ice, Psychic, N/A, 
Mudbray, #749, Generation VII, 1.0 m, 110.0 kg, Donkey Pokemon, Brown, Ground, N/A, N/A, 
Mudkip, #258, Generation III, 0.4 m, 7.6 kg, Mud Fish Pokemon, Blue, Water, N/A, N/A, 
Mudsdale, #750, Generation VII, 2.5 m, 920.0 kg, Draft Horse Pokemon, Brown, Ground, N/A, N/A, 
Muk, #089, Generation I, 1.2 m, 30.0 kg, Sludge Pokemon, Purple, Poison, N/A, N/A, 
Munchlax, #446, Generation IV, 0.6 m, 105.0 kg, Big Eater Pokemon, Black, Normal, N/A, baby, 
Munna, #517, Generation V, 0.6 m, 23.3 kg, Dream Eater Pokemon, Pink, Psychic, N/A, N/A, 
Murkrow, #198, Generation II, 0.5 m, 2.1 kg, Darkness Pokemon, Black, Dark, Flying, N/A, 
Musharna, #518, Generation V, 1.1 m, 60.5 kg, Drowsing Pokemon, Pink, Psychic, N/A, N/A, 
Naganadel, #804, Generation VII, 3.6 m, 150 kg, Poison Pin Pokemon, Purple, Poison, Dragon, N/A, 
Natu, #177, Generation II, 0.2 m, 2.0 kg, Tiny Bird Pokemon, Green, Psychic, Flying, N/A, 
Necrozma, #800, Generation VII, 2.4 m, 230.0 kg, Prism Pokemon, Black, Psychic, N/A, Legendary, 
Nickit, #827, Generation VIII, 0.6 m, 8.9 kg, Fox Pokemon, Brown, Dark, N/A, N/A, 
Nidoking, #034, Generation I, 1.4 m, 62.0 kg, Drill Pokemon, Purple, Poison, Ground, N/A, 
Nidoqueen, #031, Generation I, 1.3 m, 60.0 kg, Drill Pokemon, Blue, Poison, Ground, N/A, 
NidoranXX, #029, Generation I, 0.4 m, 7.0 kg, Poison Pin Pokemon, Blue, Poison, N/A, N/A, 
NidoranXY, #032, Generation I, 0.5 m, 9.0 kg, Poison Pin Pokemon, Purple, Poison, N/A, N/A, 
Nidorina, #030, Generation I, 0.8 m, 20.0 kg, Poison Pin Pokemon, Blue, Poison, N/A, N/A, 
Nidorino, #033, Generation I, 0.9 m, 19.5 kg, Poison Pin Pokemon, Purple, Poison, N/A, N/A, 
Nihilego, #793, Generation VII, 1.2 m, 55.5 kg, Parasite Pokemon, White, Rock, Poison, N/A, 
Nincada, #290, Generation III, 0.5 m, 5.5 kg, Trainee Pokemon, Gray, Bug, Ground, N/A, 
Ninetales, #038, Generation I, 1.1 m, 19.9 kg, Fox Pokemon, Yellow, Fire, N/A, N/A, 
Ninjask, #291, Generation III, 0.8 m, 12.0 kg, Ninja Pokemon, Yellow, Bug, Flying, N/A, 
Noctowl, #164, Generation II, 1.6 m, 40.8 kg, Owl Pokemon, Brown, Normal, Flying, N/A, 
Noibat, #714, Generation VI, 0.5 m, 8.0 kg, Sound Wave Pokemon, Purple, Flying, Dragon, N/A, 
Noivern, #715, Generation VI, 1.5 m, 85.0 kg, Sound Wave Pokemon, Purple, Flying, Dragon, N/A, 
Nosepass, #299, Generation III, 1.0 m, 97.0 kg, Compass Pokemon, Gray, Rock, N/A, N/A, 
Numel, #322, Generation III, 0.7 m, 24.0 kg, Numb Pokemon, Yellow, Fire, Ground, N/A, 
Nuzleaf, #274, Generation III, 1.0 m, 28.0 kg, Wily Pokemon, Brown, Grass, Dark, N/A, 
Obstagoon, #862, Generation VIII, 1.6 m, 46.0 kg, Blocking Pokemon, Gray, Dark, Normal, N/A, 
Octillery, #224, Generation II, 0.9 m, 28.5 kg, Jet Pokemon, Red, Water, N/A, N/A, 
Oddish, #043, Generation I, 0.5 m, 5.4 kg, Weed Pokemon, Blue, Grass, Poison, N/A, 
Omanyte, #138, Generation I, 0.4 m, 7.5 kg, Spiral Pokemon, Blue, Rock, Water, Fossil, 
Omastar, #139, Generation I, 1.0 m, 35.0 kg, Spiral Pokemon, Blue, Rock, Water, Fossil, 
Onix, #095, Generation I, 8.8 m, 210.0 kg, Rock Snake Pokemon, Gray, Rock, Ground, N/A, 
Oranguru, #765, Generation VII, 1.5 m, 76.0 kg, Sage Pokemon, White, Normal, Psychic, N/A, 
Orbeetle, #826, Generation VIII, 0.4 m, 40.8 kg, Seven Spot Pokemon, Red, Bug, Psychic, N/A, 
Oricorio, #741, Generation VII, 0.6 m, 3.4 kg, Dancing Pokemon, Red, Flying, N/A, N/A, 
Oshawott, #501, Generation V, 0.5 m, 5.9 kg, Sea Otter Pokemon, Blue, Water, N/A, N/A, 
Pachirisu, #417, Generation IV, 0.4 m, 3.9 kg, Electric Squirrel Pokemon, White, Electric, N/A, N/A, 
Palkia, #484, Generation IV, 4.2 m, 336.0 kg, Spatial Pokemon, Purple, Water, Dragon, Legendary, 
Palossand, #770, Generation VII, 1.3 m, 250.0 kg, Sand Castle Pokemon, Brown, Ghost, Ground, N/A, 
Palpitoad, #536, Generation V, 0.8 m, 17.0 kg, Vibration Pokemon, Blue, Water, Ground, N/A, 
Pancham, #674, Generation VI, 0.6 m, 8.0 kg, Playful Pokemon, White, Fighting, N/A, N/A, 
Pangoro, #675, Generation VI, 2.1 m, 136.0 kg, Daunting Pokemon, White, Fighting, Dark, N/A, 
Panpour, #515, Generation V, 0.6 m, 13.5 kg, Spray Pokemon, Blue, Water, N/A, N/A, 
Pansage, #511, Generation V, 0.6 m, 10.5 kg, Grass Monkey Pokemon, Green, Grass, N/A, N/A, 
Pansear, #513, Generation V, 0.6 m, 11.0 kg, High Temp Pokemon, Red, Fire, N/A, N/A, 
Paras, #046, Generation I, 0.3 m, 5.4 kg, Mushroom Pokemon, Red, Bug, Grass, N/A, 
Parasect, #047, Generation I, 1.0 m, 29.5 kg, Mushroom Pokemon, Red, Bug, Grass, N/A, 
Passimian, #766, Generation VII, 2.0 m, 82.8 kg, Teamwork Pokemon, White, Fighting, N/A, N/A, 
Patrat, #504, Generation V, 0.5 m, 11.6 kg, Scout Pokemon, Brown, Normal, N/A, N/A, 
Pawniard, #624, Generation V, 0.5 m, 10.2 kg, Sharp Blade Pokemon, Red, Dark, Steel, N/A, 
Pelipper, #279, Generation III, 1.2 m, 28.0 kg, Water Bird Pokemon, Yellow, Water, Flying, N/A, 
Perrserker, #863, Generation VIII, 0.8 m, 28.0 kg, Viking Pokemon, Brown, Steel, N/A, N/A, 
Persian, #053, Generation I, 1.0 m, 32.0 kg, Classy Cat Pokemon, Yellow, Normal, N/A, N/A, 
Petilil, #548, Generation V, 0.5 m, 6.6 kg, Bulb Pokemon, Green, Grass, N/A, N/A, 
Phanpy, #231, Generation II, 0.5 m, 33.5 kg, Long Nose Pokemon, Blue, Ground, N/A, N/A, 
Phantump, #708, Generation VI, 0.4 m, 7.0 kg, Stump Pokemon, Brown, Ghost, Grass, N/A, 
Pheromosa, #795, Generation VII, 1.8 m, 25.0 kg, Lissome Pokemon, White, Bug, Fighting, N/A, 
Phione, #489, Generation IV, 0.4 m, 3.1 kg, Sea Drifter Pokemon, Blue, Water, N/A, N/A, 
Pichu, #172, Generation II, 0.3 m, 2.0 kg, Tiny Mouse Pokemon, Yellow, Electric, N/A, baby, 
Pidgeot, #017, Generation I, 1.5 m, 39.5 kg, Bird Pokemon, Brown, Normal, Flying, N/A, 
Pidgeotto, #018, Generation I, 1.1 m, 30.0 kg, Bird Pokemon, Brown, Normal, Flying, N/A, 
Pidgey, #016, Generation I, 0.3 m, 1.8 kg, Tiny Bird Pokemon, Brown, Normal, Flying, N/A, 
Pidove, #519, Generation V, 0.3 m, 2.1 kg, Tiny Pigeon Pokemon, Gray, Normal, Flying, N/A, 
Pignite, #499, Generation V, 1.0 m, 55.5 kg, Fire Pig Pokemon, Red, Fire, Fighting, N/A, 
Pikachu, #025, Generation I, 0.4 m, 6.0 kg, Mouse Pokemon, Yellow, Electric, N/A, N/A, 
Pikipek, #731, Generation VII, 0.3 m, 1.2 kg, Woodpecker Pokemon, Black, Normal, Flying, N/A, 
Piloswine, #221, Generation II, 1.1 m, 55.8 kg, Swine Pokemon, Brown, Ice, Ground, N/A, 
Pincurchin, #871, Generation VIII, 0.3 m, 1.0 kg, Sea Urchin Pokemon, Purple, Electric, N/A, N/A, 
Pineco, #204, Generation II, 0.6 m, 7.2 kg, Bagworm Pokemon, Gray, Bug, N/A, N/A, 
Pinsir, #127, Generation I, 1.5 m, 55.0 kg, Stag Beetle Pokemon, Brown, Bug, N/A, N/A, 
Piplup, #393, Generation IV, 0.4 m, 5.2 kg, Penguin Pokemon, Blue, Water, N/A, N/A, 
Plusle, #311, Generation III, 0.4 m, 4.2 kg, Cheering Pokemon, Yellow, Electric, N/A, N/A, 
Poipole, #803, Generation VII, 0.6 m, 1.8 kg, Poison Pin Pokemon, Purple, Poison, N/A, N/A, 
Politoed, #186, Generation II, 1.1 m, 33.9 kg, Frog Pokemon, Green, Water, N/A, N/A, 
Poliwag, #060, Generation I, 0.6 m, 12.4 kg, Tadpole Pokemon, Blue, Water, N/A, N/A, 
Poliwhirl, #061, Generation I, 1.0 m, 20.0 kg, Tadpole Pokemon, Blue, Water, N/A, N/A, 
Poliwrath, #062, Generation I, 1.3 m, 54.0 kg, Tadpole Pokemon, Blue, Water, Fighting, N/A, 
Polteageist, #855, Generation VIII, 0.2 m, 0.4 kg, Black Tea Pokemon, Purple, Ghost, N/A, N/A, 
Ponyta, #077, Generation I, 1.0 m, 30.0 kg, Fire Horse Pokemon, Yellow, Fire, N/A, N/A, 
Poochyena, #261, Generation III, 0.5 m, 13.6 kg, Bite Pokemon, Gray, Dark, N/A, N/A, 
Popplio, #728, Generation VII, 0.4 m, 7.5 kg, Sea Lion Pokemon, Blue, Water, N/A, N/A, 
Porygon, #137, Generation I, 0.8 m, 36.5 kg, Virtual Pokemon, Pink, Normal, N/A, N/A, 
Porygon-Z, #474, Generation IV, 0.9 m, 34.0 kg, Virtual Pokemon, Red, Normal, N/A, N/A, 
Porygon2, #233, Generation II, 0.6 m, 32.5 kg, Virtual Pokemon, Red, Normal, N/A, N/A, 
Primarina, #730, Generation VII, 1.8 m, 44.0 kg, Soloist Pokemon, Blue, Water, Fairy, N/A, 
Primeape, #057, Generation I, 1.0 m, 32.0 kg, Pig Monkey Pokemon, Brown, Fighting, N/A, N/A, 
Prinplup, #394, Generation IV, 0.8 m, 23.0 kg, Penguin Pokemon, Blue, Water, N/A, N/A, 
Probopass, #476, Generation IV, 1.4 m, 340.0 kg, Compass Pokemon, Gray, Rock, Steel, N/A, 
Psyduck, #054, Generation I, 0.8 m, 19.6 kg, Duck Pokemon, Yellow, Water, N/A, N/A, 
Pumpkaboo, #710, Generation VI, 0.3 m, 3.5 kg, Pumpkin Pokemon, Brown, Ghost, Grass, N/A, 
Pupitar, #247, Generation II, 1.2 m, 152.0 kg, Hard Shell Pokemon, Gray, Rock, Ground, N/A, 
Purrloin, #509, Generation V, 0.4 m, 10.1 kg, Devious Pokemon, Purple, Dark, N/A, N/A, 
Purugly, #432, Generation IV, 1.0 m, 43.8 kg, Tiger Cat Pokemon, Gray, Normal, N/A, N/A, 
Pyroar, #668, Generation VI, 1.5 m, 81.5 kg, Royal Pokemon, Brown, Fire, Normal, N/A, 
Pyukumuku, #771, Generation VII, 0.3 m, 1.2 kg, Sea Cucumber Pokemon, Black, Water, N/A, N/A, 
Quagsire, #195, Generation II, 1.4 m, 75.0 kg, Water Fish Pokemon, Blue, Water, Ground, N/A, 
Quilava, #156, Generation II, 0.9 m, 19.0 kg, Volcano Pokemon, Yellow, Fire, N/A, N/A, 
Quilladin, #651, Generation VI, 0.7 m, 29.0 kg, Spiny Armor Pokemon, Green, Grass, N/A, N/A, 
Qwilfish, #211, Generation II, 0.5 m, 3.9 kg, Balloon Pokemon, Gray, Water, Poison, N/A, 
Raboot, #814, Generation VIII, 0.6 m, 9.0 kg, Rabbit Pokemon, Gray, Fire, N/A, N/A, 
Raichu, #026, Generation I, 0.8 m, 30.0 kg, Mouse Pokemon, Yellow, Electric, N/A, N/A, 
Raikou, #243, Generation II, 1.9 m, 178.0 kg, Thunder Pokemon, Yellow, Electric, N/A, Legendary, 
Ralts, #280, Generation III, 0.4 m, 6.6 kg, Feeling Pokemon, White, Psychic, Fairy, N/A, 
Rampardos, #409, Generation IV, 1.6 m, 102.5 kg, Head Butt Pokemon, Blue, Rock, N/A, Fossil, 
Rapidash, #078, Generation I, 1.7 m, 95.0 kg, Fire Horse Pokemon, Yellow, Fire, N/A, N/A, 
Raticate, #020, Generation I, 0.7 m, 18.5 kg, Mouse Pokemon, Brown, Normal, N/A, N/A, 
Rattata, #019, Generation I, 0.3 m, 3.5 kg, Mouse Pokemon, Purple, Normal, N/A, N/A, 
Rayquaza, #384, Generation III, 7.0 m, 206.5 kg, Sky High Pokemon, Green, Dragon, Flying, Legendary, 
Regice, #378, Generation III, 1.8 m, 175.0 kg, Iceberg Pokemon, Blue, Ice, N/A, Legendary, 
Regidrago, #895, Generation VIII, 2.1 m, 200.0 kg, Dragon Orb Pokemon, Green, Dragon, N/A, Legendary, 
Regieleki, #894, Generation VIII, 1.2 m, 145.0 kg, Electron Pokemon, Yellow, Electric, N/A, Legendary, 
Regigigas, #486, Generation IV, 3.7 m, 420.0 kg, Colossal Pokemon, White, Normal, N/A, Legendary, 
Regirock, #377, Generation III, 1.7 m, 230.0 kg, Rock Peak Pokemon, Brown, Rock, N/A, Legendary, 
Registeel, #379, Generation III, 1.9 m, 205.0 kg, Iron Pokemon, Gray, Steel, N/A, Legendary, 
Relicanth, #369, Generation III, 1.0 m, 23.4 kg, Longevity Pokemon, Gray, Water, Rock, N/A, 
Remoraid, #223, Generation II, 0.6 m, 12.0 kg, Jet Pokemon, Gray, Water, N/A, N/A, 
Reshiram, #643, Generation V, 3.2 m, 330.0 kg, Vast White Pokemon, White, Dragon, Fire, Legendary, 
Reuniclus, #579, Generation V, 1.0 m, 20.1 kg, Multiplying Pokemon, Green, Psychic, N/A, N/A, 
Rhydon, #112, Generation I, 1.9 m, 120.0 kg, Drill Pokemon, Gray, Ground, Rock, N/A, 
Rhyhorn, #111, Generation I, 1.0 m, 115.0 kg, Spikes Pokemon, Gray, Ground, Rock, N/A, 
Rhyperior, #464, Generation IV, 2.4 m, 282.8 kg, Drill Pokemon, Gray, Ground, Rock, N/A, 
Ribombee, #743, Generation VII, 0.2 m, 0.5 kg, Bee Fly Pokemon, Yellow, Bug, Fairy, N/A, 
Rillaboom, #812, Generation VIII, 2.1 m, 90.0 kg, Drummer Pokemon, Green, Grass, N/A, N/A, 
Riolu, #447, Generation IV, 0.7 m, 20.2 kg, Emanation Pokemon, Blue, Fighting, N/A, baby, 
Rockruff, #744, Generation VII, 0.5 m, 9.2 kg, Puppy Pokemon, Brown, Rock, N/A, N/A, 
Roggenrola, #524, Generation V, 0.4 m, 18.0 kg, Mantle Pokemon, Blue, Rock, N/A, N/A, 
Rolycoly, #837, Generation VIII, 0.3 m, 12.0 kg, Coal Pokemon, Black, Rock, N/A, N/A, 
Rookidee, #821, Generation VIII, 0.2 m, 1.8 kg, Tiny Bird Pokemon, Blue, Flying, N/A, N/A, 
Roselia, #315, Generation III, 0.3 m, 2.0 kg, Thorn Pokemon, Green, Grass, Poison, N/A, 
Roserade, #407, Generation IV, 0.9 m, 14.5 kg, Bouquet Pokemon, Green, Grass, Poison, N/A, 
Rotom, #479, Generation IV, 0.3 m, 0.3 kg, Plasma Pokemon, Red, Electric, Ghost, N/A, 
Rowlet, #722, Generation VII, 0.3 m, 1.5 kg, Grass Quill Pokemon, Brown, Grass, Flying, N/A, 
Rufflet, #627, Generation V, 0.5 m, 10.5 kg, Eaglet Pokemon, White, Normal, Flying, N/A, 
Runerigus, #867, Generation VIII, 1.6 m, 66.6 kg, Grudge Pokemon, Gray, Ground, Ghost, N/A, 
Sableye, #302, Generation III, 0.5 m, 11.0 kg, Darkness Pokemon, Purple, Dark, Ghost, N/A, 
Salamence, #373, Generation III, 1.5 m, 102.6 kg, Dragon Pokemon, Blue, Dragon, Flying, pseudo-legendary, 
Salandit, #757, Generation VII, 0.6 m, 4.8 kg, Toxic Lizard Pokemon, Black, Poison, Fire, N/A, 
Salazzle, #758, Generation VII, 1.2 m, 22.2 kg, Toxic Lizard Pokemon, Black, Poison, Fire, N/A, 
Samurott, #503, Generation V, 1.5 m, 94.6 kg, Formidable Pokemon, Blue, Water, N/A, N/A, 
Sandaconda, #844, Generation VIII, 3.8 m, 65.5 kg, Sand Snake Pokemon, Green, Ground, N/A, N/A, 
Sandile, #551, Generation V, 0.7 m, 15.2 kg, Desert Croc Pokemon, Brown, Ground, Dark, N/A, 
Sandshrew, #027, Generation I, 0.6 m, 12.0 kg, Mouse Pokemon, Yellow, Ground, N/A, N/A, 
Sandslash, #028, Generation I, 1.0 m, 29.5 kg, Mouse Pokemon, Yellow, Ground, N/A, N/A, 
Sandygast, #769, Generation VII, 0.5 m, 70.0 kg, Sand Heap Pokemon, Brown, Ghost, Ground, N/A, 
Sawk, #539, Generation V, 1.4 m, 51.0 kg, Karate Pokemon, Blue, Fighting, N/A, N/A, 
Sawsbuck, #586, Generation V, 1.9 m, 92.5 kg, Season Pokemon, Brown, Normal, Grass, N/A, 
Scatterbug, #664, Generation VI, 0.3 m, 2.5 kg, Scatterdust Pokemon, Black, Bug, N/A, N/A, 
Sceptile, #254, Generation III, 1.7 m, 52.2 kg, Forest Pokemon, Green, Grass, N/A, N/A, 
Scizor, #212, Generation II, 1.8 m, 118.0 kg, Pincer Pokemon, Red, Bug, Steel, N/A, 
Scolipede, #545, Generation V, 2.5 m, 200.5 kg, Megapede Pokemon, Red, Bug, Poison, N/A, 
Scorbunny, #813, Generation VIII, 0.3 m, 4.5 kg, Rabbit Pokemon, White, Fire, N/A, N/A, 
Scrafty, #560, Generation V, 1.1 m, 30.0 kg, Hoodlum Pokemon, Red, Dark, Fighting, N/A, 
Scraggy, #559, Generation V, 0.6 m, 11.8 kg, Shedding Pokemon, Yellow, Dark, Fighting, N/A, 
Scyther, #123, Generation I, 1.5 m, 56.0 kg, Mantis Pokemon, Green, Bug, Flying, N/A, 
Seadra, #117, Generation I, 1.2 m, 25.0 kg, Dragon Pokemon, Blue, Water, N/A, N/A, 
Seaking, #119, Generation I, 1.3 m, 39.0 kg, Goldfish Pokemon, Red, Water, N/A, N/A, 
Sealeo, #364, Generation III, 1.1 m, 87.6 kg, Ball Roll Pokemon, Blue, Ice, Water, N/A, 
Seedot, #273, Generation III, 0.5 m, 4.0 kg, Acorn Pokemon, Brown, Grass, N/A, N/A, 
Seel, #086, Generation I, 1.1 m, 90.0 kg, Sea Lion Pokemon, White, Water, N/A, N/A, 
Seismitoad, #537, Generation V, 1.5 m, 62.0 kg, Vibration Pokemon, Blue, Water, Ground, N/A, 
Sentret, #161, Generation II, 0.8 m, 6.0 kg, Scout Pokemon, Brown, Normal, N/A, N/A, 
Serperior, #497, Generation V, 3.3 m, 63.0 kg, Regal Pokemon, Green, Grass, N/A, N/A, 
Servine, #496, Generation V, 0.8 m, 16.0 kg, Grass Snake Pokemon, Green, Grass, N/A, N/A, 
Seviper, #336, Generation III, 2.7 m, 52.5 kg, Fang Snake Pokemon, Black, Poison, N/A, N/A, 
Sewaddle, #540, Generation V, 0.3 m, 2.5 kg, Sewing Pokemon, Yellow, Bug, Grass, N/A, 
Sharpedo, #319, Generation III, 1.8 m, 88.8 kg, Brutal Pokemon, Blue, Water, Dark, N/A, 
Shaymin, #492, Generation IV, 0.2 m, 2.1 kg, Gratitude Pokemon, Green, Grass, N/A, Mythical, 
Shedinja, #292, Generation III, 0.8 m, 1.2 kg, Shed Pokemon, Brown, Bug, Ghost, N/A, 
Shelgon, #372, Generation III, 1.1 m, 110.5 kg, Endurance Pokemon, White, Dragon, N/A, N/A, 
Shellder, #090, Generation I, 0.3 m, 4.0 kg, Bivalve Pokemon, Purple, Water, N/A, N/A, 
Shellos, #422, Generation IV, 0.3 m, 6.3 kg, Sea Slug Pokemon, Purple, Water, N/A, N/A, 
Shelmet, #616, Generation V, 0.4 m, 7.7 kg, Snail Pokemon, Red, Bug, N/A, N/A, 
Shieldon, #410, Generation IV, 0.5 m, 57.0 kg, Shield Pokemon, Gray, Rock, Steel, Fossil, 
Shiftry, #275, Generation III, 1.3 m, 59.6 kg, Wicked Pokemon, Brown, Grass, Dark, N/A, 
Shiinotic, #756, Generation VII, 1.0 m, 11.5 kg, Illuminating Pokemon, Purple, Grass, Fairy, N/A, 
Shinx, #403, Generation IV, 0.5 m, 9.5 kg, Flash Pokemon, Blue, Electric, N/A, N/A, 
Shroomish, #285, Generation III, 0.4 m, 4.5 kg, Mushroom Pokemon, Brown, Grass, N/A, N/A, 
Shuckle, #213, Generation II, 0.6 m, 20.5 kg, Mold Pokemon, Yellow, Bug, Rock, N/A, 
Shuppet, #353, Generation III, 0.6 m, 2.3 kg, Puppet Pokemon, Black, Ghost, N/A, N/A, 
Sigilyph, #561, Generation V, 1.4 m, 14.0 kg, Avianoid Pokemon, Black, Psychic, Flying, N/A, 
Silcoon, #266, Generation III, 0.6 m, 10.0 kg, Cocoon Pokemon, White, Bug, N/A, N/A, 
Silicobra, #843, Generation VIII, 2.2 m, 7.6 kg, Sand Snake Pokemon, Green, Ground, N/A, N/A, 
Silvally, #773, Generation VII, 2.3 m, 100.5 kg, Synthetic Pokemon, Gray, Normal, N/A, Legendary, 
Simipour, #516, Generation V, 1.0 m, 29.0 kg, Geyser Pokemon, Blue, Water, N/A, N/A, 
Simisage, #512, Generation V, 1.1 m, 30.5 kg, Thorn Monkey Pokemon, Green, Grass, N/A, N/A, 
Simisear, #514, Generation V, 1.0 m, 28.0 kg, Ember Pokemon, Red, Fire, N/A, N/A, 
Sinistea, #854, Generation VIII, 0.1 m, 0.2 kg, Black Tea Pokemon, Purple, Ghost, N/A, N/A, 
Sirfetch'd, #865, Generation VIII, 0.8 m, 117.0 kg, Wild Duck Pokemon, White, Fighting, N/A, N/A, 
Sizzlipede, #850, Generation VIII, 0.7 m, 1.0 kg, Radiator Pokemon, Red, Fire, Bug, N/A, 
Skarmory, #227, Generation II, 1.7 m, 50.5 kg, Armor Bird Pokemon, Gray, Steel, Flying, N/A, 
Skiddo, #672, Generation VI, 0.9 m, 31.0 kg, Mount Pokemon, Brown, Grass, N/A, N/A, 
Skiploom, #188, Generation II, 0.6 m, 1.0 kg, Cottonweed Pokemon, Green, Grass, Flying, N/A, 
Skitty, #300, Generation III, 0.6 m, 11.0 kg, Kitten Pokemon, Pink, Normal, N/A, N/A, 
Skorupi, #451, Generation IV, 0.8 m, 12.0 kg, Scorpion Pokemon, Purple, Poison, Bug, N/A, 
Skrelp, #690, Generation VI, 0.5 m, 7.3 kg, Mock Kelp Pokemon, Brown, Poison, Water, N/A, 
Skuntank, #435, Generation IV, 1.0 m, 38.0 kg, Skunk Pokemon, Purple, Poison, Dark, N/A, 
Skwovet, #819, Generation VIII, 0.3 m, 2.5 kg, Cheeky Pokemon, Brown, Normal, N/A, N/A, 
Slaking, #289, Generation III, 2.0 m, 130.5 kg, Lazy Pokemon, Brown, Normal, N/A, N/A, 
Slakoth, #287, Generation III, 0.8 m, 24.0 kg, Slacker Pokemon, Brown, Normal, N/A, N/A, 
Sliggoo, #705, Generation VI, 0.8 m, 17.5 kg, Soft Tissue Pokemon, Purple, Dragon, N/A, N/A, 
Slowbro, #080, Generation I, 1.6 m, 78.5 kg, Hermit Crab Pokemon, Pink, Water, Psychic, N/A, 
Slowking, #199, Generation II, 2.0 m, 79.5 kg, Royal Pokemon, Pink, Water, Psychic, N/A, 
Slowpoke, #079, Generation I, 1.2 m, 36.0 kg, Dopey Pokemon, Pink, Water, Psychic, N/A, 
Slugma, #218, Generation II, 0.7 m, 35.0 kg, Lava Pokemon, Red, Fire, N/A, N/A, 
Slurpuff, #685, Generation VI, 0.8 m, 5.0 kg, Meringue Pokemon, White, Fairy, N/A, N/A, 
Smeargle, #235, Generation II, 1.2 m, 58.0 kg, Painter Pokemon, White, Normal, N/A, N/A, 
Smoochum, #238, Generation II, 0.4 m, 6.0 kg, Kiss Pokemon, Pink, Ice, Psychic, baby, 
Sneasel, #215, Generation II, 0.9 m, 28.0 kg, Sharp Claw Pokemon, Black, Dark, Ice, N/A, 
Snivy, #495, Generation V, 0.6 m, 8.1 kg, Grass Snake Pokemon, Green, Grass, N/A, N/A, 
Snom, #872, Generation VIII, 0.3 m, 3.8 kg, Worm Pokemon, White, Ice, Bug, N/A, 
